labobs,robs,pinfobs,dy,dc,dinve,dw,ewma,epinfma,zcapf,rkf,kf,pkf,cf,invef,yf,labf,wf,rrf,mc,zcap,rk,k,pk,c,inve,y,lab,pinf,w,r,a,b,g,qs,ms,spinf,sw,kpf,kp
-0.037106,-0.010071,-0.0046958,-0.00018579,-0.0019635,-0.0058504,-0.0011126,0,3.9568E-19,-0.333,-0.18706,0.20355,-0.0068345,0.13388,0.054213,0.027487,-0.030989,0.047478,-0.0047702,-0.0034173,-0.36247,-0.20362,0.21391,-0.0046922,0.14015,0.040081,0.022848,-0.037106,-0.0046958,0.047395,-0.010071,-4.8577E-17,2.5054E-18,1.9074E-17,1.3962E-07,-5.6757E-19,1.1074E-16,4.8315E-19,0.5221,0.56031
-0.035864,-0.0098355,-0.0044763,-0.00026954,-0.0022291,-0.0051279,-0.0011077,0,3.8869E-19,-0.32409,-0.18206,0.19801,-0.0059018,0.13162,0.047427,0.026587,-0.030259,0.046208,-0.0047646,-0.0031211,-0.35209,-0.19779,0.20821,-0.0040133,0.13792,0.034953,0.022578,-0.035864,-0.0044763,0.046288,-0.0098355,-4.7344E-17,2.4576E-18,1.8709E-17,8.5454E-08,-5.3228E-19,1.097E-16,-1.6821E-18,0.50787,0.54457
-0.034697,-0.0095896,-0.0042762,-0.00034586,-0.0024499,-0.0045102,-0.0011056,0,3.8138E-19,-0.31531,-0.17713,0.19256,-0.005097,0.12918,0.041552,0.025726,-0.029524,0.044957,-0.0047404,-0.0028524,-0.34198,-0.19211,0.20259,-0.0034654,0.13547,0.030443,0.022233,-0.034697,-0.0042762,0.045182,-0.0095896,-4.6135E-17,2.4095E-18,1.8354E-17,5.2304E-08,-5.0034E-19,1.0864E-16,-3.7662E-18,0.4939,0.52916
-0.0336,-0.0093386,-0.0040939,-0.00041222,-0.0026293,-0.0039769,-0.0011043,0,3.7383E-19,-0.30668,-0.17228,0.18722,-0.0044024,0.12662,0.036464,0.0249,-0.02879,0.043727,-0.0047009,-0.0026121,-0.33212,-0.18657,0.19705,-0.0030189,0.13284,0.026466,0.02182,-0.0336,-0.0040939,0.044078,-0.0093386,-4.4951E-17,2.3611E-18,1.8007E-17,3.2013E-08,-4.7135E-19,1.0756E-16,-5.7691E-18,0.4802,0.5141
-0.032566,-0.0090864,-0.0039274,-0.00046742,-0.0027709,-0.0035125,-0.0011026,0,3.6612E-19,-0.29821,-0.16752,0.18198,-0.003803,0.12396,0.032054,0.024107,-0.028057,0.042519,-0.0046487,-0.0023998,-0.32252,-0.18118,0.19159,-0.0026505,0.13007,0.022953,0.021353,-0.032566,-0.0039274,0.042975,-0.0090864,-4.3794E-17,2.3125E-18,1.7667E-17,1.9594E-08,-4.4496E-19,1.0647E-16,-7.6912E-18,0.46677,0.49939
-0.031587,-0.0088358,-0.0037749,-0.0005112,-0.0028788,-0.0031048,-0.0010995,0,3.5829E-19,-0.28991,-0.16286,0.17686,-0.0032856,0.12123,0.028231,0.023345,-0.02733,0.041335,-0.004586,-0.0022141,-0.31317,-0.17593,0.18621,-0.0023423,0.12719,0.019849,0.020842,-0.031587,-0.0037749,0.041876,-0.0088358,-4.2662E-17,2.2636E-18,1.7334E-17,1.1993E-08,-4.2088E-19,1.0536E-16,-9.5334E-18,0.45363,0.48502
-0.030658,-0.008589,-0.0036348,-0.000544,-0.0029567,-0.0027444,-0.0010944,0,3.5037E-19,-0.28178,-0.15829,0.17186,-0.002839,0.11845,0.024915,0.022613,-0.02661,0.040175,-0.0045149,-0.0020529,-0.30408,-0.17082,0.18094,-0.0020806,0.12423,0.017104,0.020298,-0.030658,-0.0036348,0.040781,-0.008589,-4.1557E-17,2.2145E-18,1.7006E-17,7.3404E-09,-3.9885E-19,1.0425E-16,-1.1296E-17,0.44079,0.471
-0.029771,-0.008347,-0.0035054,-0.00056667,-0.0030084,-0.0024243,-0.0010871,0,3.4239E-19,-0.27382,-0.15382,0.16696,-0.0024535,0.11565,0.022036,0.021907,-0.0259,0.039042,-0.0044371,-0.0019137,-0.29523,-0.16585,0.17577,-0.001855,0.12123,0.01468,0.019731,-0.029771,-0.0035054,0.039694,-0.008347,-4.0479E-17,2.1652E-18,1.6683E-17,4.4928E-09,-3.7864E-19,1.0313E-16,-1.2982E-17,0.42824,0.45733
-0.028923,-0.0081108,-0.0033852,-0.00058031,-0.0030374,-0.0021389,-0.0010773,0,3.344E-19,-0.26605,-0.14946,0.16219,-0.0021207,0.11283,0.019536,0.021228,-0.025199,0.037933,-0.0043539,-0.0017941,-0.28662,-0.16101,0.17071,-0.0016577,0.11819,0.012541,0.019151,-0.028923,-0.0033852,0.038617,-0.0081108,-3.9428E-17,2.1159E-18,1.6365E-17,2.7499E-09,-3.6007E-19,1.0201E-16,-1.459E-17,0.416,0.444
-0.028107,-0.0078807,-0.0032729,-0.00058616,-0.003047,-0.0018837,-0.0010651,0,3.264E-19,-0.25846,-0.14519,0.15753,-0.0018334,0.11001,0.017363,0.020572,-0.02451,0.036851,-0.0042665,-0.0016914,-0.27825,-0.15631,0.16575,-0.0014832,0.11514,0.010657,0.018565,-0.028107,-0.0032729,0.037552,-0.0078807,-3.8403E-17,2.0665E-18,1.6052E-17,1.6831E-09,-3.4295E-19,1.0089E-16,-1.6123E-17,0.40405,0.43102
-0.027319,-0.0076569,-0.0031674,-0.00058548,-0.0030403,-0.0016553,-0.0010506,0,3.1841E-19,-0.25106,-0.14103,0.153,-0.0015853,0.1072,0.015473,0.01994,-0.023834,0.035796,-0.004176,-0.0016032,-0.27011,-0.15173,0.16092,-0.0013271,0.1121,0.0090021,0.017979,-0.027319,-0.0031674,0.036501,-0.0076569,-3.7404E-17,2.0171E-18,1.5743E-17,1.0302E-09,-3.2713E-19,9.9758E-17,-1.7583E-17,0.39241,0.41838
-0.026556,-0.0074395,-0.0030678,-0.00057949,-0.0030199,-0.0014509,-0.0010341,0,3.1047E-19,-0.24384,-0.13698,0.14857,-0.0013712,0.10441,0.013827,0.01933,-0.023171,0.034766,-0.0040833,-0.0015271,-0.26218,-0.14728,0.15619,-0.0011866,0.10908,0.0075512,0.0174,-0.026556,-0.0030678,0.035467,-0.0074395,-3.643E-17,1.9678E-18,1.5438E-17,6.3053E-10,-3.1249E-19,9.8631E-17,-1.897E-17,0.38107,0.40607
-0.025816,-0.0072281,-0.002973,-0.00056932,-0.0029884,-0.001268,-0.0010158,0,3.0258E-19,-0.2368,-0.13303,0.14427,-0.0011863,0.10165,0.012393,0.01874,-0.022521,0.033763,-0.003989,-0.0014611,-0.25448,-0.14295,0.15159,-0.0010592,0.10609,0.0062831,0.01683,-0.025816,-0.002973,0.034451,-0.0072281,-3.5482E-17,1.9187E-18,1.5137E-17,3.8593E-10,-2.989E-19,9.7505E-17,-2.0287E-17,0.37002,0.39409
-0.025096,-0.0070228,-0.0028826,-0.00055597,-0.0029477,-0.0011047,-0.00099594,0,2.9475E-19,-0.22995,-0.12918,0.14008,-0.0010266,0.098932,0.011141,0.01817,-0.021886,0.032786,-0.0038939,-0.0014034,-0.24699,-0.13875,0.14711,-0.00094347,0.10314,0.0051784,0.016274,-0.025096,-0.0028826,0.033455,-0.0070228,-3.4559E-17,1.8699E-18,1.4841E-17,2.3621E-10,-2.8625E-19,9.6381E-17,-2.1536E-17,0.35927,0.38244
-0.024394,-0.0068231,-0.0027959,-0.00054032,-0.0028998,-0.00095923,-0.00097482,0,2.8701E-19,-0.22328,-0.12543,0.136,-0.00088868,0.096251,0.010048,0.017619,-0.021265,0.031834,-0.0037985,-0.0013524,-0.2397,-0.13465,0.14274,-0.00083818,0.10025,0.0042192,0.015734,-0.024394,-0.0027959,0.032481,-0.0068231,-3.366E-17,1.8214E-18,1.4548E-17,1.4458E-10,-2.7446E-19,9.5261E-17,-2.2718E-17,0.34881,0.37111
-0.02371,-0.006629,-0.0027125,-0.00052313,-0.0028463,-0.0008299,-0.00095272,0,2.7937E-19,-0.21678,-0.12178,0.13203,-0.00076959,0.093615,0.0090914,0.017086,-0.020659,0.030908,-0.0037031,-0.0013067,-0.23262,-0.13067,0.13849,-0.00074242,0.097399,0.0033893,0.015211,-0.02371,-0.0027125,0.031528,-0.006629,-3.2784E-17,1.7735E-18,1.426E-17,8.849E-11,-2.6343E-19,9.4145E-17,-2.3835E-17,0.33863,0.36009
-0.023041,-0.0064401,-0.0026319,-0.00050502,-0.0027884,-0.0007153,-0.00092989,0,2.7182E-19,-0.21046,-0.11823,0.12817,-0.00066674,0.091027,0.0082534,0.01657,-0.020067,0.030008,-0.0036082,-0.0012652,-0.22573,-0.1268,0.13436,-0.00065545,0.09461,0.002674,0.014706,-0.023041,-0.0026319,0.030598,-0.0064401,-3.1932E-17,1.726E-18,1.3976E-17,5.4162E-11,-2.531E-19,9.3034E-17,-2.489E-17,0.32873,0.34938
-0.022388,-0.0062562,-0.002554,-0.00048648,-0.0027274,-0.00061408,-0.00090656,0,2.644E-19,-0.20432,-0.11478,0.12442,-0.00057789,0.088491,0.0075182,0.016071,-0.01949,0.029131,-0.0035141,-0.001227,-0.21904,-0.12304,0.13035,-0.00057668,0.091883,0.0020599,0.014219,-0.022388,-0.002554,0.029691,-0.0062562,-3.1102E-17,1.6792E-18,1.3696E-17,3.315E-11,-2.4339E-19,9.1929E-17,-2.5883E-17,0.31911,0.33898
-0.02175,-0.0060771,-0.0024785,-0.00046793,-0.0026643,-0.00052498,-0.00088294,0,2.571E-19,-0.19834,-0.11142,0.12077,-0.00050114,0.086007,0.0068719,0.015588,-0.018928,0.028279,-0.003421,-0.0011914,-0.21253,-0.11939,0.12645,-0.00050555,0.089219,0.0015349,0.013751,-0.02175,-0.0024785,0.028808,-0.0060771,-3.0295E-17,1.6331E-18,1.342E-17,2.029E-11,-2.3425E-19,9.083E-17,-2.6818E-17,0.30976,0.32887
