,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
271,-11941.916401092376,-11712.661424725424,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6058.958200546188,1.0,0.9762110180181395,0.21071490747509897,1.4125547784506,1.0,2.0,3.0,6.0,0.0,1.0,1.0
272,-11908.830336493338,-11679.575360126386,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6042.415168246669,1.0,0.9882648872362767,0.6385658713267359,1.602430873095209,1.0,2.0,3.0,4.0,0.0,1.0,1.0
273,-20397.50559991417,-20168.250623547217,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10286.752799957085,1.0,0.9687404355664022,0.00066368425869152,0.06689255545896663,1.0,2.0,3.0,6.0,1.0,1.0,1.0
274,-11975.566321812847,-11746.311345445894,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6075.783160906423,1.0,0.9731017929128738,0.037190455259497525,1.3240409388238135,1.0,2.0,3.0,5.0,0.0,1.0,1.0
275,-11977.866020744714,-11748.611044377762,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6076.933010372357,1.0,0.9886256818905771,0.5590171007762692,1.260859095631187,1.0,2.0,3.0,6.0,0.0,1.0,1.0
276,-11929.300967882271,-11700.045991515319,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6052.6504839411355,1.0,0.9775776200532121,0.16373087750797735,1.5993651189691234,1.0,2.0,3.0,5.0,0.0,1.0,1.0
277,-11912.114197066265,-11682.859220699313,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6044.057098533132,1.0,0.9706061869176226,0.13695109711628908,1.7396788447946603,1.0,2.0,3.0,5.0,0.0,1.0,1.0
278,-11925.554011461867,-11696.299035094915,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6050.7770057309335,1.0,0.9869251690632218,0.35899802071205894,1.5644820665642845,1.0,2.0,3.0,5.0,0.0,1.0,1.0
279,-11954.014419378174,-11724.759443011222,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6065.007209689087,1.0,0.9717486343855313,0.12115669048093755,1.41936942535792,1.0,2.0,3.0,5.0,0.0,1.0,1.0
280,-19826.249241640682,-19596.99426527373,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10001.124620820341,1.0,0.9812383679954276,0.00032818853494711626,0.07077452716010404,1.0,2.0,3.0,6.0,1.0,1.0,1.0
281,-11978.458585765131,-11749.203609398179,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6077.2292928825655,1.0,0.9810764732949236,0.05307290110122889,1.2356167820216208,1.0,2.0,3.0,5.0,0.0,1.0,1.0
282,-20358.99349400503,-20129.738517638078,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10267.496747002515,1.0,0.9707010838954331,0.00036936730881649923,0.07300004654044963,1.0,2.0,3.0,6.0,1.0,1.0,1.0
283,-11934.101667481038,-11704.846691114086,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.050833740519,1.0,0.977998880857675,0.11998878528288573,1.6067420867579765,1.0,2.0,3.0,4.0,0.0,1.0,1.0
284,-19727.415812758878,-19498.160836391926,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",9951.707906379439,1.0,0.9669974033211586,0.0008346322885307834,0.07940209551299578,1.0,2.0,3.0,6.0,1.0,1.0,1.0
285,-11937.58932127215,-11708.334344905197,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6056.794660636075,1.0,0.9830195845533944,0.14904729554488483,1.5702211046161267,1.0,2.0,3.0,6.0,0.0,1.0,1.0
286,-11961.720084760005,-11732.465108393053,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6068.860042380003,1.0,0.9703081687099784,0.08734111173663095,1.267157958986958,1.0,2.0,3.0,5.0,0.0,1.0,1.0
287,-11927.398264073368,-11698.143287706416,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6051.699132036684,1.0,0.9841445427423686,0.2456934218380988,1.6498510365926318,1.0,2.0,3.0,6.0,0.0,1.0,1.0
288,-11957.398749393396,-11728.143773026444,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6066.699374696698,1.0,0.9863469282086801,0.3664404483501488,1.3561169137526636,1.0,2.0,3.0,5.0,0.0,1.0,1.0
289,-11916.673343996119,-11687.418367629167,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6046.3366719980595,1.0,0.9663249960669846,0.00977449286403906,1.7591198136582507,1.0,2.0,3.0,4.0,0.0,1.0,1.0
290,-19581.76818743228,-19352.51321106533,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",9878.88409371614,1.0,0.9718428934192875,0.0007769026679651055,0.06901557516351788,1.0,2.0,3.0,6.0,1.0,1.0,1.0
291,-11990.117350792367,-11760.862374425415,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6083.058675396183,1.0,0.9760542045727192,0.24491897862877143,1.2089853527211838,1.0,2.0,3.0,6.0,0.0,1.0,1.0
292,-11953.074781577125,-11723.819805210172,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6064.537390788562,1.0,0.9746704713701828,0.12988297972868626,1.4882014825093846,1.0,2.0,3.0,6.0,0.0,1.0,1.0
293,-11939.459358431806,-11710.204382064854,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.729679215903,1.0,0.9823272123766392,0.2594449035180102,1.4943868307246746,1.0,2.0,3.0,5.0,0.0,1.0,1.0
294,-11965.379821687855,-11736.124845320903,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6070.6899108439275,1.0,0.9911222386735214,0.6533694955127438,1.3260389150901934,1.0,2.0,3.0,5.0,0.0,1.0,1.0
295,-12031.190625320294,-11801.935648953342,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6103.595312660147,1.0,0.9765158843782272,0.1714368628995614,1.2366446263843793,1.0,2.0,3.0,5.0,0.0,1.0,1.0
296,-11918.260048725853,-11689.005072358901,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6047.130024362927,1.0,0.9773938036969655,0.16709182924979765,1.6382273846288806,1.0,2.0,3.0,5.0,0.0,1.0,1.0
297,-11934.875802155475,-11705.620825788523,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.4379010777375,1.0,0.976505988340586,0.01089457468181028,1.4956328278109585,1.0,2.0,3.0,5.0,0.0,1.0,1.0
298,-11974.435593455895,-11745.180617088943,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6075.217796727948,1.0,0.9849035709014927,0.31706278389998205,1.4262785307275767,1.0,2.0,3.0,5.0,0.0,1.0,1.0
299,-11930.466189714889,-11701.211213347937,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6053.2330948574445,1.0,0.9718246908700696,0.0069158546688530085,1.5557441101286391,1.0,2.0,3.0,5.0,0.0,1.0,1.0
